상호명,행정동명,법정동명,도로명주소,위도,경도
어메이스,대소원면,대소원면,충청북도 충주시 대소원면 황토골1길 53,36.9639695112024,127.843640186204
스타커피,교현2동,교현동,충청북도 충주시 봉현로 234,36.9774715815862,127.929929407806
공차충주,호암.직동,호암동,충청북도 충주시 호암토성2로 3,36.9558014343374,127.934493696867
카페우후연,수안보면,수안보면,충청북도 충주시 수안보면 수안보로 258,36.8499778344821,127.989387547629
하삼동커피충주호암힐데스점,호암.직동,호암동,충청북도 충주시 호암토성2로 1,36.9547279538847,127.933503795314
유나의정원,엄정면,엄정면,충청북도 충주시 엄정면 족동2길 116,37.1067314834553,127.944084729079
가로,달천동,단월동,충청북도 충주시 충원대로 59,36.9425791128947,127.911802328448
바나타이거충주,연수동,연수동,충청북도 충주시 계명대로 229,36.9827619050028,127.9400797086
구려차실,교현.안림동,교현동,충청북도 충주시 금봉대로 431,36.9733516497901,127.9461629848
컴포즈커피충주호암,호암.직동,호암동,충청북도 충주시 호암토성2로 7,36.9557973689844,127.935010115296
스윗라이크,용산동,용산동,충청북도 충주시 거룡2길 73,36.9643429357359,127.936843854096
거터커피,성내.충인동,성서동,충청북도 충주시 성서2길 16,36.9700359243214,127.932477909336
나비도꽃이었다,용산동,용산동,충청북도 충주시 용정4길 6-1,36.9658209957666,127.934515097477
오늘커피,연수동,연수동,충청북도 충주시 연수동산로2길 16-10,36.9851503688749,127.941131199631
메가엠지씨커피충주첨단,대소원면,대소원면,충청북도 충주시 대소원면 첨단산업4로 24,36.9875015559811,127.828803774476
드랍바이,대소원면,대소원면,충청북도 충주시 대소원면 용두제방길 4,36.9652350202263,127.871771616004
너츠에빠진볼트,목행.용탄동,용탄동,충청북도 충주시 충주호수로 212,37.0184952501001,127.940362460009
231카페,중앙탑면,중앙탑면,충청북도 충주시 중앙탑면 중앙탑길 231,37.027938499199,127.858293832557
컴포즈커피충주연수예성로점,연수동,연수동,충청북도 충주시 예성로 398,36.991808905787,127.934316266578
비바에이,수안보면,수안보면,충청북도 충주시 수안보면 장터3길 21,36.8459099764889,127.989873277307
더나비채,연수동,연수동,충청북도 충주시 동수2길 31,36.9862259651294,127.937291862425
스타캡슐충주점,교현2동,교현동,충청북도 충주시 금릉로 102-1,36.984403430219,127.927273223635
메가엠지씨커피서충주삼일파라뷰점,주덕읍,주덕읍,충청북도 충주시 주덕읍 화개2길 3,37.0037616291967,127.81768937466
장미다방,성내.충인동,성내동,충청북도 충주시 관아3길 10,36.9701674568299,127.93408535814
하루커피,연수동,연수동,충청북도 충주시 예성로 328,36.9855235350833,127.933812576176
커피정원,산척면,산척면,충청북도 충주시 산척면 천등박달로 129,37.0800641564517,127.956045656727
그다방,주덕읍,주덕읍,충청북도 충주시 주덕읍 시장길 12,36.9743411753887,127.797957141295
카페몽,호암.직동,호암동,충청북도 충주시 예성로 13,36.9608251540451,127.928132497911
다인다방,주덕읍,주덕읍,충청북도 충주시 주덕읍 신양로 95-2,36.973106807072,127.797944253983
갤러리카페520,문화동,문화동,충청북도 충주시 성터5길 20,36.9710147210507,127.920204437585
팔레트,용산동,용산동,충청북도 충주시 용정8길 11-9,36.9660492352681,127.935281464469
금다방,앙성면,앙성면,충청북도 충주시 앙성면 가곡로 1039,37.1077935036311,127.754287199254
또굽당,문화동,문화동,충청북도 충주시 사직산8길 50,36.9720033998564,127.927470893455
디플리,성내.충인동,성서동,충청북도 충주시 관아2길 4,36.970972673665,127.93366846603
카페씨티홀e,칠금.금릉동,금릉동,충청북도 충주시 으뜸로 21,36.9907344386369,127.926552555744
충주연수,연수동,연수동,충청북도 충주시 계명대로 227,36.9827271114662,127.939922039208
충주터미널,봉방동,봉방동,충청북도 충주시 봉계13길 2,36.9806947717692,127.915188327082
좋은하루,목행.용탄동,목행동,충청북도 충주시 행정7길 29,37.0131805258599,127.917150785984
카페과일꽃팜핑농장,엄정면,엄정면,충청북도 충주시 엄정면 논동옥성길 461-48,37.129854459293,127.909183016824
신동백다방,주덕읍,주덕읍,충청북도 충주시 주덕읍 시장길 16,36.9743568550656,127.798305447625
파스쿠찌서충주,중앙탑면,중앙탑면,충청북도 충주시 중앙탑면 기업도시로 222,37.0166085971561,127.824501558641
텐퍼센트커피충주,칠금.금릉동,칠금동,충청북도 충주시 계명대로 24,36.9821136208223,127.916979891389
이브다방,주덕읍,주덕읍,충청북도 충주시 주덕읍 쌀전길 6,36.9736479564873,127.799207697607
새벽별카페,칠금.금릉동,금릉동,충청북도 충주시 응골1길 21,36.9949483450016,127.925783646188
김프로약초카페,교현.안림동,안림동,충청북도 충주시 안림로 170,36.9744689921977,127.964077903452
산척다방,산척면,산척면,충청북도 충주시 산척면 천등박달로 135,37.080396508668,127.956173535303
종로다방,엄정면,엄정면,충청북도 충주시 엄정면 미내장터길 5,37.0860260767939,127.915306073421
바나프레소충주,연수동,연수동,충청북도 충주시 국원대로 206,36.9898894009141,127.928609100476
충주교현DT,교현.안림동,교현동,충청북도 충주시 금봉대로 362,36.9670165880243,127.947375928943
라이티티,문화동,문화동,충청북도 충주시 사직산8길 57,36.9726995135462,127.9271761291
카페이음,교현.안림동,안림동,충청북도 충주시 금봉대로 429,36.9730098206705,127.946091372549
카페우리,엄정면,엄정면,충청북도 충주시 엄정면 미내장터길 6,37.085855589876,127.91521404933
카페퍼디,봉방동,봉방동,충청북도 충주시 천변로 57,36.9761058861903,127.91668318768
섣달그믐,엄정면,엄정면,충청북도 충주시 엄정면 도자기길 21,37.0936929657294,127.943023107532
란다방,대소원면,대소원면,충청북도 충주시 대소원면 첨단산업1로 63,36.9844551119296,127.82892797044
베이커리카페일월,교현.안림동,종민동,충청북도 충주시 충주호수로 608,37.0105172961984,127.980892053311
공차서충주기업도시점,중앙탑면,중앙탑면,충청북도 충주시 중앙탑면 원앙9길 15,37.0157066983259,127.825918845748
메가엠지씨커피충주,호암.직동,호암동,충청북도 충주시 호암토성2로 3,36.9558014343374,127.934493696867
신호박다방,주덕읍,주덕읍,충청북도 충주시 주덕읍 신덕로 1385,36.9737071543442,127.79844465547
에센스카페Essencecafe,봉방동,봉방동,충청북도 충주시 무학천변길 4,36.9771107166164,127.920738297847
더블하모니,연수동,연수동,충청북도 충주시 동수8길 10,36.9829237794643,127.938981008542
위드어스커피,칠금.금릉동,칠금동,충청북도 충주시 탄금대로 291,36.9854300368782,127.900430114535
